time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,14.8,14.4,14.8,14.4,24454.0,星期五,0.0014,-0.027
2026-06-25,15.16,14.78,15.22,14.78,26582.0,星期四,-0.0046,-0.0251
2026-06-24,15.2,15.23,15.39,14.96,23923.0,星期三,-0.0085,0.002
2026-06-23,15.49,15.33,15.7,15.29,29137.0,星期二,-0.0064,-0.0103
2026-06-22,15.22,15.59,15.6,14.82,45765.0,星期一,-0.0046,0.0243
2026-06-18,15.47,15.29,15.47,15.2,18929.0,星期四,-0.009,-0.0116
2026-06-17,15.96,15.61,15.98,15.6,26843.0,星期三,-0.0037,-0.0219
2026-06-16,16.02,16.02,16.33,15.61,32504.0,星期二,0.0025,0.0
2026-06-15,16.3,15.98,16.36,15.87,29465.0,星期一,0.0449,-0.0196
2026-06-12,15.61,15.6,15.75,15.45,28453.0,星期五,-0.0064,-0.0006
2026-06-11,15.56,15.71,15.81,15.21,30614.0,星期四,0.0,0.0096
2026-06-10,15.45,15.56,15.61,15.37,18031.0,星期三,-0.0058,0.0071
2026-06-09,15.93,15.54,16.02,15.42,34858.0,星期二,0.0063,-0.0245
2026-06-08,15.7,15.83,16.24,15.64,29291.0,星期一,-0.02,0.0083
2026-06-05,16.04,16.02,16.24,15.85,24866.0,星期五,0.0038,-0.0012
2026-06-04,15.84,15.98,16.05,15.58,30387.0,星期四,-0.0006,0.0088
2026-06-03,16.03,15.85,16.1,15.74,22953.0,星期三,0.0,-0.0112
2026-06-02,16.32,16.03,16.39,15.98,27494.0,星期二,0.0049,-0.0178
2026-06-01,16.1,16.24,16.35,15.86,36181.0,星期一,-0.0006,0.0087
2026-05-29,16.55,16.11,16.68,16.09,39141.0,星期五,0.0018,-0.0266
2026-05-28,16.91,16.52,16.98,16.32,42998.0,星期四,-0.0041,-0.0231
2026-05-27,16.5,16.98,17.06,16.13,63079.0,星期三,-0.0096,0.0291
2026-05-26,16.91,16.66,17.1,16.45,44712.0,星期二,-0.0053,-0.0148
2026-05-25,17.1,17.0,17.3,16.82,49652.0,星期一,-0.0006,-0.0058
2026-05-22,16.77,17.11,17.28,16.55,62221.0,星期五,0.0024,0.0203
2026-05-21,17.57,16.73,17.57,16.72,87851.0,星期四,0.0006,-0.0478
2026-05-20,17.41,17.56,17.88,17.3,93513.0,星期三,-0.0006,0.0086
2026-05-19,17.23,17.42,17.69,17.23,101240.0,星期二,-0.0046,0.011
2026-05-18,17.89,17.31,17.89,17.16,180280.0,星期一,0.013,-0.0324
2026-05-15,16.27,17.66,17.66,16.27,205537.0,星期五,0.0137,0.0854
2026-05-14,16.22,16.05,16.22,16.02,18401.0,星期四,0.0037,-0.0105
2026-05-13,16.22,16.16,16.25,16.1,16717.0,星期三,-0.0018,-0.0037
2026-05-12,16.7,16.25,16.7,16.25,22977.0,星期二,0.003,-0.0269
2026-05-11,16.75,16.65,16.79,16.57,23478.0,星期一,0.0006,-0.006
2026-05-08,16.74,16.74,16.77,16.62,16794.0,星期五,0.0042,0.0
2026-05-07,16.8,16.67,16.8,16.58,16097.0,星期四,0.0108,-0.0077
2026-05-06,16.57,16.62,16.8,16.51,24942.0,星期三,-0.0012,0.003
2026-04-30,16.7,16.59,16.77,16.56,18211.0,星期四,0.0024,-0.0066
2026-04-29,16.61,16.66,16.71,16.52,13901.0,星期三,0.0018,0.003
2026-04-28,16.59,16.58,16.75,16.49,20998.0,星期二,-0.006,-0.0006
2026-04-27,16.38,16.69,16.77,16.3,33407.0,星期一,0.0024,0.0189
2026-04-24,16.18,16.34,16.36,16.1,17804.0,星期五,0.0025,0.0099
2026-04-23,16.28,16.14,16.35,16.1,15778.0,星期四,0.0018,-0.0086
2026-04-22,16.27,16.25,16.3,16.16,9185.0,星期三,0.0,-0.0012
2026-04-21,16.33,16.27,16.38,16.15,10494.0,星期二,0.0025,-0.0037
2026-04-20,16.17,16.29,16.34,16.11,14832.0,星期一,0.0012,0.0074
2026-04-17,16.22,16.15,16.22,16.0,12103.0,星期五,0.0019,-0.0043
2026-04-16,16.1,16.19,16.25,16.1,20462.0,星期四,-0.0037,0.0056
2026-04-15,16.35,16.16,16.38,16.16,11834.0,星期三,0.0012,-0.0116
2026-04-14,16.38,16.33,16.42,16.22,11861.0,星期二,0.0024,-0.0031
2026-04-13,16.39,16.34,16.41,16.23,14301.0,星期一,-0.0012,-0.0031
2026-04-10,16.42,16.41,16.5,16.35,10381.0,星期五,0.0043,-0.0006
2026-04-09,16.52,16.35,16.6,16.3,11765.0,星期四,0.0006,-0.0103
2026-04-08,16.31,16.51,16.6,16.31,19653.0,星期三,0.008,0.0123
2026-04-07,16.05,16.18,16.23,16.0,10217.0,星期二,-0.0006,0.0081
2026-04-03,16.2,16.06,16.3,15.98,12129.0,星期五,-0.0025,-0.0086
2026-04-02,16.31,16.24,16.42,16.13,12276.0,星期四,-0.0012,-0.0043
2026-04-01,16.22,16.33,16.33,16.18,10744.0,星期三,0.0075,0.0068
2026-03-31,16.33,16.1,16.42,16.07,11248.0,星期二,0.0006,-0.0141
2026-03-30,16.28,16.32,16.34,16.07,14767.0,星期一,0.0112,0.0025
2026-03-27,15.94,16.1,16.14,15.82,14203.0,星期五,0.0,0.01
2026-03-26,16.1,15.94,16.31,15.92,12078.0,星期四,0.0019,-0.0099
2026-03-25,15.93,16.07,16.13,15.9,15242.0,星期三,0.0006,0.0088
2026-03-24,15.69,15.92,15.92,15.5,16623.0,星期二,0.0103,0.0147
2026-03-23,16.07,15.53,16.07,15.51,28056.0,星期一,-0.0068,-0.0336
2026-03-20,16.3,16.18,16.56,16.06,30444.0,星期五,-0.0018,-0.0074
2026-03-19,16.72,16.33,16.73,16.3,31444.0,星期四,-0.0006,-0.0233
2026-03-18,16.97,16.73,17.07,16.68,31647.0,星期三,0.0,-0.0141
2026-03-17,17.25,16.97,17.28,16.97,26577.0,星期二,0.0035,-0.0162
2026-03-16,17.33,17.19,17.48,17.13,24703.0,星期一,0.0,-0.0081
2026-03-13,17.39,17.33,17.57,17.31,27119.0,星期五,-0.0006,-0.0035
2026-03-12,17.4,17.4,17.55,17.32,21735.0,星期四,0.0023,0.0
2026-03-11,17.5,17.36,17.5,17.27,20333.0,星期三,0.0023,-0.008
2026-03-10,17.56,17.46,17.56,17.4,19615.0,星期二,0.0057,-0.0057
2026-03-09,17.65,17.46,17.65,17.32,25649.0,星期一,0.0034,-0.0108
2026-03-06,17.21,17.59,17.64,17.11,27112.0,星期五,0.0012,0.0221
2026-03-05,17.35,17.19,17.57,17.16,18961.0,星期四,0.0058,-0.0092
2026-03-04,17.08,17.25,17.4,17.01,28462.0,星期三,-0.0052,0.01
2026-03-03,17.69,17.17,17.78,17.16,39591.0,星期二,-0.0011,-0.0294
2026-03-02,17.71,17.71,17.8,17.46,39107.0,星期一,0.0,0.0
2026-02-27,17.66,17.71,17.77,17.62,17835.0,星期五,-0.0034,0.0028
2026-02-26,17.88,17.72,17.96,17.66,32483.0,星期四,0.0125,-0.0089
2026-02-25,17.48,17.66,17.8,17.48,30572.0,星期三,-0.0023,0.0103
2026-02-24,17.15,17.52,17.52,17.15,26731.0,星期二,0.0,0.0216
2026-02-13,17.28,17.15,17.37,17.15,17022.0,星期五,-0.0017,-0.0075
2026-02-12,17.54,17.31,17.58,17.31,21681.0,星期四,0.0006,-0.0131
2026-02-11,17.36,17.53,17.61,17.35,19848.0,星期三,-0.0006,0.0098
2026-02-10,17.52,17.37,17.53,17.35,19786.0,星期二,0.0,-0.0086
2026-02-09,17.28,17.52,17.79,17.28,35749.0,星期一,0.0058,0.0139
2026-02-06,17.15,17.18,17.33,17.06,22673.0,星期五,0.0012,0.0017
2026-02-05,17.29,17.13,17.34,17.11,24829.0,星期四,-0.0006,-0.0093
2026-02-04,17.37,17.3,17.47,17.24,19677.0,星期三,0.0,-0.004
2026-02-03,17.26,17.37,17.41,17.24,17833.0,星期二,0.0035,0.0064
2026-02-02,17.68,17.2,17.74,17.18,26500.0,星期一,0.0,-0.0271
2026-01-30,17.64,17.68,17.81,17.41,26719.0,星期五,0.0017,0.0023
2026-01-29,17.8,17.61,17.83,17.55,30998.0,星期四,-0.0011,-0.0107
2026-01-28,17.72,17.82,17.95,17.62,34586.0,星期三,-0.0011,0.0056
2026-01-27,17.68,17.74,17.74,17.3,33853.0,星期二,-0.0006,0.0034
2026-01-26,17.99,17.69,18.04,17.62,33656.0,星期一,0.0101,-0.0167
2026-01-23,17.71,17.81,17.85,17.65,32800.0,星期五,0.0023,0.0056
2026-01-22,17.71,17.67,17.71,17.54,21563.0,星期四,0.0051,-0.0023
2026-01-21,17.6,17.62,17.66,17.5,24631.0,星期三,0.004,0.0011
2026-01-20,17.43,17.53,17.66,17.43,32424.0,星期二,-0.0034,0.0057
2026-01-19,17.2,17.49,17.51,17.17,38294.0,星期一,0.0,0.0169
2026-01-16,17.26,17.2,17.28,17.1,19889.0,星期五,0.0041,-0.0035
2026-01-15,17.07,17.19,17.2,17.0,17948.0,星期四,0.0006,0.007
2026-01-14,17.14,17.06,17.2,16.96,30979.0,星期三,0.0029,-0.0047
2026-01-13,17.24,17.09,17.27,17.07,29373.0,星期二,0.0,-0.0087
2026-01-12,17.21,17.24,17.25,17.12,23400.0,星期一,0.0017,0.0017
2026-01-09,17.19,17.18,17.22,17.1,21416.0,星期五,0.0035,-0.0006
2026-01-08,17.09,17.13,17.19,17.04,16103.0,星期四,0.0029,0.0023
2026-01-07,17.11,17.04,17.15,16.95,14779.0,星期三,0.0006,-0.0041
2026-01-06,16.95,17.1,17.13,16.95,16681.0,星期二,0.0,0.0088
2026-01-05,16.81,16.95,17.02,16.81,14516.0,星期一,0.0,0.0083
2025-12-31,16.89,16.81,16.94,16.8,11905.0,星期三,0.0024,-0.0047
2025-12-30,16.97,16.85,16.97,16.82,12176.0,星期二,0.0012,-0.0071
2025-12-29,17.06,16.95,17.07,16.93,12335.0,星期一,0.0006,-0.0064
