time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,7.58,7.59,7.9,7.42,290917.0,星期五,-0.0066,0.0013
2026-06-25,7.94,7.63,8.1,7.54,346109.0,星期四,0.0038,-0.039
2026-06-24,8.12,7.91,8.14,7.7,443078.0,星期三,-0.0217,-0.0259
2026-06-23,7.8,8.3,8.56,7.73,601706.0,星期二,-0.0139,0.0641
2026-06-22,7.6,7.91,7.91,7.41,385225.0,星期一,-0.0206,0.0408
2026-06-18,7.99,7.76,7.99,7.48,400297.0,星期四,-0.0075,-0.0288
2026-06-17,8.0,8.05,8.14,7.9,401191.0,星期三,-0.0196,0.0063
2026-06-16,8.39,8.16,8.56,8.04,455145.0,星期二,0.0024,-0.0274
2026-06-15,8.54,8.37,8.77,8.21,531055.0,星期一,0.0,-0.0199
2026-06-12,8.85,8.54,9.23,8.39,526556.0,星期五,0.0011,-0.035
2026-06-11,8.66,8.84,8.91,8.5,653459.0,星期四,-0.0378,0.0208
2026-06-10,8.5,9.0,9.28,8.31,1120064.0,星期三,-0.0035,0.0588
2026-06-09,7.59,8.53,8.53,7.35,894510.0,星期二,-0.0206,0.1238
2026-06-08,7.75,7.75,8.21,7.75,910194.0,星期一,-0.0999,0.0
2026-06-05,10.15,8.61,10.35,8.54,1465455.0,星期五,0.0786,-0.1517
2026-06-04,8.55,9.41,9.41,8.25,894646.0,星期四,0.0,0.1006
2026-06-03,8.55,8.55,8.55,8.55,118366.0,星期三,0.1004,0.0
2026-06-02,7.1,7.77,7.77,6.9,465276.0,星期二,0.0057,0.0944
2026-06-01,6.43,7.06,7.06,6.43,127608.0,星期一,0.0016,0.098
2026-05-29,6.75,6.42,6.81,6.36,162689.0,星期五,-0.0074,-0.0489
2026-05-28,6.85,6.8,7.03,6.62,146428.0,星期四,-0.0015,-0.0073
2026-05-27,7.01,6.86,7.27,6.82,209179.0,星期三,0.0014,-0.0214
2026-05-26,6.99,7.0,7.35,6.85,260334.0,星期二,-0.0319,0.0014
2026-05-25,6.96,7.22,7.45,6.76,251280.0,星期一,0.0029,0.0374
2026-05-22,6.67,6.94,7.03,6.55,114510.0,星期五,0.0045,0.0405
2026-05-21,6.94,6.64,7.08,6.63,106237.0,星期四,0.0117,-0.0432
2026-05-20,6.93,6.86,6.93,6.81,55498.0,星期三,-0.0086,-0.0101
2026-05-19,6.93,6.99,7.05,6.85,85009.0,星期二,0.0058,0.0087
2026-05-18,6.96,6.89,6.98,6.8,88812.0,星期一,0.0,-0.0101
2026-05-15,7.05,6.96,7.14,6.88,86318.0,星期五,-0.0042,-0.0128
2026-05-14,7.1,7.08,7.16,6.96,72166.0,星期四,0.01,-0.0028
2026-05-13,7.08,7.03,7.14,6.96,80775.0,星期三,0.0028,-0.0071
2026-05-12,7.19,7.06,7.19,6.92,101810.0,星期二,0.0,-0.0181
2026-05-11,7.28,7.19,7.3,7.12,86775.0,星期一,0.0111,-0.0124
2026-05-08,7.21,7.2,7.31,7.17,76592.0,星期五,-0.0028,-0.0014
2026-05-07,7.4,7.23,7.43,7.21,123253.0,星期四,0.0014,-0.023
2026-05-06,7.42,7.39,7.48,7.32,85291.0,星期三,0.0027,-0.004
2026-04-30,7.4,7.4,7.52,7.32,71939.0,星期四,0.0,0.0
2026-04-29,7.27,7.4,7.43,7.26,94022.0,星期三,-0.0068,0.0179
