time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,17.56,17.3,17.85,17.08,45810.0,星期五,-0.0073,-0.0148
2026-06-25,19.01,17.69,19.66,17.4,109153.0,星期四,-0.016,-0.0694
2026-06-24,18.4,19.32,19.5,18.02,104767.0,星期三,0.0016,0.05
2026-06-23,17.11,18.37,18.55,17.06,69855.0,星期二,-0.007,0.0736
2026-06-22,18.4,17.23,18.4,16.66,65490.0,星期一,0.0082,-0.0636
2026-06-18,18.31,18.25,18.52,18.0,38460.0,星期四,-0.0113,-0.0033
2026-06-17,18.61,18.52,19.05,18.42,34293.0,星期三,-0.0037,-0.0048
2026-06-16,17.96,18.68,18.8,17.62,53095.0,星期二,0.0096,0.0401
2026-06-15,18.5,17.79,18.8,17.75,45780.0,星期一,0.0087,-0.0384
2026-06-12,17.66,18.34,18.65,17.4,55560.0,星期五,0.0115,0.0385
2026-06-11,17.8,17.46,18.18,17.28,32080.0,星期四,-0.0095,-0.0191
2026-06-10,18.18,17.97,18.65,17.33,42210.0,星期三,0.0033,-0.0116
2026-06-09,17.95,18.12,18.57,17.68,46676.0,星期二,0.0096,0.0095
2026-06-08,17.32,17.78,18.7,17.08,57541.0,星期一,-0.0242,0.0266
2026-06-05,17.97,17.75,18.65,17.7,52181.0,星期五,-0.0006,-0.0122
2026-06-04,18.29,17.98,18.41,17.73,30517.0,星期四,0.0016,-0.0169
2026-06-03,18.68,18.26,18.82,18.11,40990.0,星期三,0.0043,-0.0225
2026-06-02,19.21,18.6,19.25,18.33,54519.0,星期二,0.0202,-0.0318
2026-06-01,18.09,18.83,19.84,18.0,90346.0,星期一,0.0028,0.0409
2026-05-29,19.18,18.04,19.29,18.0,45190.0,星期五,-0.0062,-0.0594
2026-05-28,18.19,19.3,19.56,18.1,52633.0,星期四,-0.013,0.061
2026-05-27,19.0,18.43,19.1,18.3,51526.0,星期三,-0.0016,-0.03
2026-05-26,19.16,19.03,20.21,18.94,89889.0,星期二,0.0084,-0.0068
2026-05-25,20.0,19.0,20.81,18.56,99778.0,星期一,-0.0025,-0.05
2026-05-22,18.5,20.05,20.14,18.3,64718.0,星期五,-0.0064,0.0838
2026-05-21,19.05,18.62,19.29,18.5,44835.0,星期四,-0.0037,-0.0226
2026-05-20,19.44,19.12,19.44,18.94,24864.0,星期三,0.0015,-0.0165
2026-05-19,19.46,19.41,19.57,19.06,36740.0,星期二,0.0015,-0.0026
