time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,4.98,4.98,5.05,4.84,39525.0,星期五,-0.004,0.0
2026-06-25,5.08,5.0,5.18,4.96,45351.0,星期四,-0.0039,-0.0157
2026-06-24,5.3,5.1,5.35,5.06,52136.0,星期三,-0.0075,-0.0377
2026-06-23,5.19,5.34,5.39,5.16,47780.0,星期二,0.0039,0.0289
2026-06-22,5.19,5.17,5.24,4.91,49531.0,星期一,0.0058,-0.0039
2026-06-18,5.12,5.16,5.23,5.01,51019.0,星期四,-0.0097,0.0078
2026-06-17,5.3,5.17,5.3,5.12,40492.0,星期三,-0.0038,-0.0245
2026-06-16,5.42,5.32,5.45,5.17,43376.0,星期二,0.0112,-0.0185
2026-06-15,5.54,5.36,5.62,5.32,46546.0,星期一,0.0128,-0.0325
2026-06-12,5.4,5.47,5.55,5.32,36517.0,星期五,0.0056,0.013
2026-06-11,5.5,5.37,5.53,5.31,23986.0,星期四,0.0055,-0.0236
2026-06-10,5.46,5.47,5.55,5.36,29846.0,星期三,-0.0127,0.0018
2026-06-09,5.66,5.53,5.68,5.46,30300.0,星期二,0.0235,-0.023
2026-06-08,5.55,5.53,5.8,5.45,42762.0,星期一,-0.0331,-0.0036
2026-06-05,5.57,5.74,5.8,5.5,41768.0,星期五,0.0054,0.0305
2026-06-04,5.65,5.54,5.71,5.48,35131.0,星期四,-0.0018,-0.0195
2026-06-03,5.81,5.66,5.85,5.63,37302.0,星期三,-0.0017,-0.0258
2026-06-02,6.01,5.82,6.06,5.76,56853.0,星期二,-0.0033,-0.0316
2026-06-01,5.73,6.03,6.05,5.65,43096.0,星期一,-0.0035,0.0524
2026-05-29,5.82,5.75,5.87,5.7,50529.0,星期五,0.0052,-0.012
2026-05-28,5.75,5.79,5.86,5.66,41183.0,星期四,0.0,0.007
2026-05-27,5.95,5.75,5.96,5.63,64979.0,星期三,0.0017,-0.0336
2026-05-26,6.04,5.94,6.09,5.87,43438.0,星期二,-0.0066,-0.0166
2026-05-25,6.21,6.08,6.32,6.03,36209.0,星期一,0.0,-0.0209
2026-05-22,6.14,6.21,6.28,6.02,39950.0,星期五,0.0049,0.0114
2026-05-21,6.35,6.11,6.47,6.06,45757.0,星期四,0.0047,-0.0378
2026-05-20,6.45,6.32,6.47,6.29,33044.0,星期三,-0.0031,-0.0202
2026-05-19,6.45,6.47,6.57,6.39,38282.0,星期二,0.0094,0.0031
2026-05-18,6.42,6.39,6.44,6.26,48484.0,星期一,0.0,-0.0047
2026-05-15,6.52,6.42,6.55,6.36,39975.0,星期五,0.0,-0.0153
