time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,167.0,178.0,188.0,164.86,313089.0,星期五,-0.029,0.0659
2026-06-25,172.88,171.99,175.0,160.97,305075.0,星期四,0.0329,-0.0051
2026-06-24,168.88,167.37,172.99,160.11,287667.0,星期三,-0.019,-0.0089
2026-06-23,172.06,172.15,184.37,164.1,304393.0,星期二,0.0002,0.0005
2026-06-22,172.7,172.02,180.6,163.6,308238.0,星期一,0.0486,-0.0039
2026-06-18,171.11,164.7,172.99,150.0,339156.0,星期四,0.03,-0.0375
2026-06-17,155.68,166.13,166.13,155.68,119380.0,星期三,0.0308,0.0671
2026-06-16,137.0,151.03,151.03,137.0,268237.0,星期二,-0.0022,0.1024
2026-06-15,128.51,137.3,138.88,119.0,379898.0,星期一,-0.0099,0.0684
2026-06-12,137.07,129.8,149.87,125.51,546065.0,星期五,-0.0171,-0.053
2026-06-11,150.01,139.46,157.88,139.46,295292.0,星期四,-0.0319,-0.0703
2026-06-10,145.08,154.96,158.8,141.22,347595.0,星期三,-0.0338,0.0681
2026-06-09,137.0,150.15,150.15,131.0,335116.0,星期二,0.0037,0.096
2026-06-08,129.76,136.5,144.05,125.8,377372.0,星期一,-0.0199,0.0519
2026-06-05,122.3,132.4,134.64,122.3,357752.0,星期五,-0.0008,0.0826
2026-06-04,113.9,122.4,126.66,107.11,333218.0,星期四,-0.0414,0.0746
2026-06-03,120.0,118.82,128.78,115.23,362677.0,星期三,-0.0164,-0.0098
2026-06-02,118.21,122.0,123.44,110.61,430032.0,星期二,0.0325,0.0321
2026-06-01,110.0,114.49,114.49,109.23,121841.0,星期一,0.0569,0.0408
2026-05-29,112.0,104.08,114.9,98.99,430963.0,星期五,0.0183,-0.0707
2026-05-28,98.01,109.99,109.99,97.02,270031.0,星期四,-0.0198,0.1222
2026-05-27,97.55,99.99,100.69,96.77,407247.0,星期三,0.0657,0.025
2026-05-26,85.79,91.54,91.54,83.93,208461.0,星期二,0.0309,0.067
2026-05-25,80.0,83.22,87.09,79.99,269292.0,星期一,0.0,0.0402
2026-05-22,81.0,80.0,84.95,75.6,303885.0,星期五,-0.0002,-0.0123
2026-05-21,83.02,81.02,85.54,79.88,363686.0,星期四,0.0676,-0.0241
2026-05-20,67.99,77.76,77.8,67.19,337458.0,星期三,-0.0387,0.1437
2026-05-19,61.39,70.73,74.0,61.39,443164.0,星期二,-0.0904,0.1521
2026-05-18,67.49,67.49,67.49,67.49,12333.0,星期一,-0.1,0.0
2026-05-15,74.99,74.99,74.99,74.99,23736.0,星期五,-0.1,0.0
2026-05-14,88.3,83.32,88.88,81.09,329717.0,星期四,0.0023,-0.0564
2026-05-13,78.98,88.1,88.88,78.98,303316.0,星期三,-0.034,0.1155
2026-05-12,82.18,81.76,86.03,78.0,376515.0,星期二,0.0269,-0.0051
2026-05-11,74.08,80.03,80.03,73.67,257227.0,星期一,0.0183,0.0803
2026-05-08,66.3,72.75,74.0,65.0,341326.0,星期五,-0.0335,0.0973
2026-05-07,68.56,68.6,70.11,64.68,349896.0,星期四,0.0263,0.0006
2026-05-06,72.0,66.8,72.0,65.36,351103.0,星期三,0.0382,-0.0722
2026-04-30,71.83,69.35,72.75,66.5,273300.0,星期四,0.03,-0.0345
2026-04-29,64.41,69.74,69.74,64.41,204787.0,星期三,0.0159,0.0828
2026-04-28,66.9,63.4,66.9,62.82,273331.0,星期二,0.0432,-0.0523
2026-04-27,60.57,64.13,64.13,60.06,133922.0,星期一,0.0389,0.0588
2026-04-24,60.38,58.3,62.09,57.38,265484.0,星期五,-0.002,-0.0344
2026-04-23,61.5,60.5,66.0,60.0,335723.0,星期四,-0.0444,-0.0163
2026-04-22,58.29,64.36,64.36,58.29,249432.0,星期三,-0.0038,0.1041
2026-04-21,60.0,58.51,62.93,56.0,537890.0,星期二,0.0311,-0.0248
2026-04-20,56.6,58.19,58.19,56.2,95725.0,星期一,0.0699,0.0281
2026-04-17,48.0,52.9,52.9,48.0,218748.0,星期五,-0.0019,0.1021
2026-04-16,49.0,48.09,49.0,46.06,297354.0,星期四,-0.0105,-0.0186
2026-04-15,44.66,49.52,49.52,44.6,188851.0,星期三,-0.008,0.1088
2026-04-14,44.34,45.02,46.0,43.9,245705.0,星期二,0.0077,0.0153
2026-04-13,41.86,44.0,45.4,41.86,328521.0,星期一,-0.0297,0.0511
2026-04-10,40.5,43.14,43.14,39.68,310530.0,星期五,0.0326,0.0652
2026-04-09,36.22,39.22,39.22,36.09,225721.0,星期四,0.016,0.0828
2026-04-08,33.9,35.65,36.19,33.61,133396.0,星期三,0.0304,0.0516
2026-04-07,33.0,32.9,33.52,32.22,82308.0,星期二,-0.0314,-0.003
2026-04-03,33.0,34.07,34.22,32.6,66376.0,星期五,0.0033,0.0324
2026-04-02,34.02,32.89,34.02,32.62,51657.0,星期四,-0.0032,-0.0332
2026-04-01,33.5,34.13,34.39,33.5,71096.0,星期三,0.0226,0.0188
2026-03-31,34.09,32.76,34.4,32.68,69741.0,星期二,-0.0012,-0.039
2026-03-30,35.0,34.13,35.0,33.05,95682.0,星期一,-0.0113,-0.0249
2026-03-27,35.12,35.4,36.44,34.7,79265.0,星期五,-0.019,0.008
2026-03-26,36.31,35.8,37.48,35.55,81973.0,星期四,-0.0093,-0.014
2026-03-25,36.86,36.65,37.65,36.4,84073.0,星期三,0.0154,-0.0057
2026-03-24,36.85,36.3,36.98,34.99,98052.0,星期二,0.0096,-0.0149
2026-03-23,35.5,36.5,37.95,35.11,109745.0,星期一,-0.0374,0.0282
2026-03-20,38.71,36.88,39.5,36.88,123193.0,星期五,0.0179,-0.0473
2026-03-19,37.8,38.03,39.2,37.3,107132.0,星期四,-0.034,0.0061
2026-03-18,38.1,39.13,39.6,38.1,134483.0,星期三,-0.0042,0.027
2026-03-17,45.08,38.26,45.08,38.25,263646.0,星期二,0.0607,-0.1513
2026-03-16,42.17,42.5,43.29,41.97,176448.0,星期一,0.028,0.0078
2026-03-13,41.89,41.02,42.53,40.86,139866.0,星期五,-0.0002,-0.0208
2026-03-12,43.0,41.9,43.74,41.78,233931.0,星期四,-0.0083,-0.0256
2026-03-11,39.59,43.36,43.36,39.59,211645.0,星期三,0.0043,0.0952
2026-03-10,39.15,39.42,40.46,38.41,133965.0,星期二,0.0201,0.0069
2026-03-09,38.18,38.38,38.67,36.52,166129.0,星期一,-0.0498,0.0052
2026-03-06,39.68,40.18,41.25,38.47,234081.0,星期五,0.0003,0.0126
2026-03-05,37.86,39.67,39.67,37.86,77602.0,星期四,0.0499,0.0478
2026-03-04,35.88,36.06,37.22,35.82,72624.0,星期三,-0.0207,0.005
2026-03-03,39.74,36.64,40.34,36.6,119772.0,星期二,0.0,-0.078
2026-03-02,40.68,39.74,41.54,39.61,117161.0,星期一,-0.0287,-0.0231
2026-02-27,38.9,41.88,42.4,38.51,175882.0,星期五,-0.0142,0.0766
2026-02-26,38.5,39.46,40.5,37.32,104637.0,星期四,-0.0003,0.0249
2026-02-25,38.0,38.51,39.15,37.51,81409.0,星期三,0.0,0.0134
2026-02-24,36.9,38.0,39.2,36.59,118264.0,星期二,0.0256,0.0298
2026-02-13,36.39,35.98,36.92,35.9,58879.0,星期五,-0.0093,-0.0113
2026-02-12,34.99,36.73,37.47,34.63,109869.0,星期四,0.0,0.0497
2026-02-11,36.7,34.99,36.82,34.78,126250.0,星期三,-0.0076,-0.0466
2026-02-10,38.31,36.98,38.83,36.9,111255.0,星期二,-0.0098,-0.0347
2026-02-09,38.38,38.69,39.87,37.49,124755.0,星期一,0.0287,0.0081
2026-02-06,37.52,37.31,38.5,36.49,116645.0,星期五,-0.0325,-0.0056
2026-02-05,38.5,38.78,39.6,38.21,127443.0,星期四,-0.0466,0.0073
2026-02-04,40.9,40.38,42.28,40.02,210410.0,星期三,0.0197,-0.0127
2026-02-03,37.18,40.11,40.11,37.06,228625.0,星期二,0.0197,0.0788
2026-02-02,36.5,36.46,38.33,36.36,92390.0,星期一,-0.0054,-0.0011
2026-01-30,35.9,36.7,37.68,35.35,93691.0,星期五,-0.005,0.0223
2026-01-29,36.68,36.08,38.25,35.95,108972.0,星期四,-0.015,-0.0164
2026-01-28,39.01,37.24,39.68,37.0,156110.0,星期三,-0.0213,-0.0454
2026-01-27,37.68,39.86,40.56,37.03,223332.0,星期二,-0.0162,0.0579
2026-01-26,42.13,38.3,42.45,38.3,268607.0,星期一,-0.0099,-0.0909
2026-01-23,38.65,42.55,42.55,38.38,208931.0,星期五,-0.0008,0.1009
2026-01-22,40.06,38.68,40.38,37.55,229291.0,星期四,0.023,-0.0344
2026-01-21,35.87,39.16,39.16,35.5,189092.0,星期三,0.0076,0.0917
2026-01-20,37.2,35.6,37.8,34.81,156243.0,星期二,0.0,-0.043
2026-01-19,36.32,37.2,39.28,36.0,228942.0,星期一,0.012,0.0242
2026-01-16,34.78,35.89,36.2,34.2,142601.0,星期五,0.0043,0.0319
2026-01-15,34.05,34.63,36.1,33.6,104915.0,星期四,0.0015,0.017
2026-01-14,34.11,34.0,35.37,33.52,120148.0,星期三,-0.0093,-0.0032
2026-01-13,37.4,34.43,37.4,34.14,151795.0,星期二,-0.0029,-0.0794
2026-01-12,37.67,37.51,37.73,36.22,155574.0,星期一,0.0135,-0.0042
2026-01-09,37.07,37.17,37.98,36.68,127740.0,星期五,0.0071,0.0027
2026-01-08,34.27,36.81,37.97,34.25,176347.0,星期四,-0.0135,0.0741
2026-01-07,34.96,34.74,35.39,34.05,105436.0,星期三,-0.0124,-0.0063
2026-01-06,34.54,35.4,36.5,33.85,153420.0,星期二,0.0064,0.0249
2026-01-05,35.41,34.32,36.44,34.14,129313.0,星期一,0.0008,-0.0308
2025-12-31,33.73,35.38,36.45,33.65,179391.0,星期三,0.0,0.0489
2025-12-30,31.11,33.73,34.94,31.11,196374.0,星期二,-0.0217,0.0842
2025-12-29,32.06,31.8,33.8,31.7,131041.0,星期一,-0.0074,-0.0081
2025-12-26,32.3,32.3,33.15,31.85,98933.0,星期五,-0.03,0.0
2025-12-25,32.85,33.3,33.74,31.46,143257.0,星期四,-0.0039,0.0137
2025-12-24,32.21,32.98,33.25,31.76,97662.0,星期三,0.0075,0.0239
2025-12-23,32.65,31.97,33.15,31.69,89055.0,星期二,0.0021,-0.0208
2025-12-22,33.06,32.58,34.09,32.46,85143.0,星期一,0.0095,-0.0145
2025-12-19,33.9,32.75,33.94,32.68,84076.0,星期五,0.0089,-0.0339
2025-12-18,34.03,33.6,34.66,33.59,101720.0,星期四,-0.0009,-0.0126
2025-12-17,34.34,34.06,34.4,33.27,136642.0,星期三,-0.0009,-0.0082
2025-12-16,32.97,34.37,35.0,32.97,222565.0,星期二,0.0176,0.0425
2025-12-15,30.09,32.4,33.38,29.91,145253.0,星期一,-0.0134,0.0768
2025-12-12,29.98,30.5,31.18,29.67,56475.0,星期五,-0.0063,0.0173
2025-12-11,30.89,30.17,31.08,30.13,45154.0,星期四,0.0016,-0.0233
