time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,15.95,16.42,17.35,15.63,680750.0,星期五,0.0,0.0295
2026-06-25,16.29,15.95,16.65,15.82,388046.0,星期四,0.0,-0.0209
2026-06-24,16.28,16.29,16.49,15.95,379052.0,星期三,-0.0031,0.0006
2026-06-23,17.4,16.33,17.4,16.26,422454.0,星期二,-0.0057,-0.0615
2026-06-22,17.54,17.5,17.85,17.04,478128.0,星期一,0.0011,-0.0023
2026-06-18,17.57,17.52,18.08,17.35,446490.0,星期四,0.0133,-0.0028
2026-06-17,17.3,17.34,17.58,17.08,398302.0,星期三,-0.0052,0.0023
2026-06-16,16.39,17.39,17.46,16.32,742112.0,星期二,0.0055,0.061
2026-06-15,15.01,16.3,16.3,14.88,521472.0,星期一,0.0128,0.0859
2026-06-12,15.5,14.82,15.77,14.71,449185.0,星期五,0.0177,-0.0439
2026-06-11,15.68,15.23,15.76,14.93,432611.0,星期四,-0.0107,-0.0287
2026-06-10,16.1,15.85,16.37,15.4,473715.0,星期三,-0.0153,-0.0155
2026-06-09,16.17,16.35,16.46,15.38,508154.0,星期二,0.01,0.0111
2026-06-08,16.52,16.01,17.01,15.95,551971.0,星期一,-0.0418,-0.0309
2026-06-05,17.75,17.24,17.89,16.85,491595.0,星期五,-0.0022,-0.0287
2026-06-04,17.38,17.79,18.24,17.15,470779.0,星期四,-0.0097,0.0236
2026-06-03,17.23,17.55,18.15,17.04,498084.0,星期三,0.0,0.0186
2026-06-02,17.38,17.23,17.67,16.61,518282.0,星期二,-0.0034,-0.0086
2026-06-01,17.58,17.44,18.38,17.39,511646.0,星期一,-0.0179,-0.008
2026-05-29,18.6,17.9,18.9,17.39,582489.0,星期五,0.0,-0.0376
2026-05-28,18.27,18.6,18.77,17.91,529148.0,星期四,-0.0044,0.0181
2026-05-27,18.83,18.35,19.55,18.28,595018.0,星期三,-0.0079,-0.0255
2026-05-26,18.44,18.98,19.48,18.35,895043.0,星期二,-0.0038,0.0293
2026-05-25,17.98,18.51,18.79,17.88,1036709.0,星期一,0.0263,0.0295
2026-05-22,16.18,17.52,17.52,15.94,829839.0,星期五,0.0157,0.0828
2026-05-21,16.73,15.93,16.87,15.91,458999.0,星期四,0.0066,-0.0478
