time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,31.0,29.8,31.19,29.8,16979.0,星期五,-0.0042,-0.0387
2026-06-25,32.24,31.13,32.33,31.01,20933.0,星期四,0.0006,-0.0344
2026-06-24,32.72,32.22,33.43,32.16,17176.0,星期三,-0.0201,-0.0153
2026-06-23,33.16,33.39,34.29,33.16,12172.0,星期二,-0.0113,0.0069
2026-06-22,34.4,33.54,34.41,33.01,20480.0,星期一,-0.0012,-0.025
2026-06-18,32.5,34.44,34.72,32.22,38536.0,星期四,0.0,0.0597
2026-06-17,32.82,32.5,33.46,32.18,21398.0,星期三,0.0,-0.0098
2026-06-16,34.47,32.82,34.75,32.2,31770.0,星期二,-0.0003,-0.0479
2026-06-15,33.9,34.48,35.43,33.9,32028.0,星期一,0.0,0.0171
2026-06-12,34.57,33.9,34.57,33.72,14072.0,星期五,0.0141,-0.0194
2026-06-11,34.0,34.09,34.63,33.79,18129.0,星期四,0.0,0.0026
2026-06-10,33.19,34.0,34.12,32.56,24402.0,星期三,-0.0078,0.0244
2026-06-09,33.78,33.45,33.85,32.83,17770.0,星期二,0.009,-0.0098
2026-06-08,32.91,33.48,34.49,32.5,21613.0,星期一,-0.0237,0.0173
2026-06-05,34.26,33.71,34.64,33.5,22650.0,星期五,0.0068,-0.0161
2026-06-04,36.0,34.03,38.0,33.59,52031.0,星期四,-0.0066,-0.0547
2026-06-03,38.34,36.24,38.34,36.1,35552.0,星期三,-0.0031,-0.0548
2026-06-02,38.57,38.46,38.99,37.95,25852.0,星期二,0.0023,-0.0029
2026-06-01,37.28,38.48,38.99,37.01,34451.0,星期一,0.0,0.0322
2026-05-29,37.9,37.28,37.9,37.0,16007.0,星期五,0.0093,-0.0164
2026-05-28,37.55,37.55,38.19,37.0,15144.0,星期四,0.0013,0.0
2026-05-27,37.43,37.5,38.23,36.8,17509.0,星期三,-0.0019,0.0019
2026-05-26,37.37,37.5,37.67,36.3,25992.0,星期二,0.0105,0.0035
2026-05-25,38.0,36.98,38.26,36.95,20551.0,星期一,0.0,-0.0268
2026-05-22,37.0,38.0,38.88,37.0,29563.0,星期五,0.0011,0.027
2026-05-21,37.63,36.96,37.9,36.85,19732.0,星期四,-0.0008,-0.0178
2026-05-20,37.62,37.66,38.35,37.01,22303.0,星期三,0.0,0.0011
2026-05-19,38.47,37.62,38.82,37.4,19537.0,星期二,0.0,-0.0221
