time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,5.4,5.3,5.42,5.2,186961.0,星期五,0.0056,-0.0185
2026-06-25,5.58,5.37,5.58,5.27,207178.0,星期四,0.0054,-0.0376
2026-06-24,5.85,5.55,5.94,5.53,189538.0,星期三,-0.0085,-0.0513
2026-06-23,5.92,5.9,6.02,5.84,128987.0,星期二,0.0,-0.0034
2026-06-22,6.01,5.92,6.02,5.62,205698.0,星期一,-0.0099,-0.015
2026-06-18,5.85,6.07,6.23,5.8,224141.0,星期四,-0.0135,0.0376
2026-06-17,6.06,5.93,6.3,5.79,270090.0,星期三,-0.0049,-0.0215
2026-06-16,6.44,6.09,6.44,6.05,200858.0,星期二,0.0016,-0.0543
2026-06-15,6.45,6.43,6.54,6.26,251478.0,星期一,0.0254,-0.0031
2026-06-12,5.91,6.29,6.49,5.84,350348.0,星期五,0.0017,0.0643
2026-06-11,5.86,5.9,5.93,5.66,143161.0,星期四,-0.0034,0.0068
2026-06-10,6.05,5.88,6.08,5.78,139943.0,星期三,-0.0082,-0.0281
2026-06-09,6.06,6.1,6.13,5.95,110578.0,星期二,0.005,0.0066
2026-06-08,6.26,6.03,6.36,5.97,152947.0,星期一,-0.031,-0.0367
2026-06-05,6.57,6.46,6.57,6.36,99659.0,星期五,0.0061,-0.0167
2026-06-04,6.55,6.53,6.7,6.46,86048.0,星期四,-0.0106,-0.0031
2026-06-03,6.71,6.62,6.71,6.57,91730.0,星期三,0.0045,-0.0134
2026-06-02,6.87,6.68,6.95,6.63,108052.0,星期二,-0.0029,-0.0277
2026-06-01,6.54,6.89,7.18,6.42,199499.0,星期一,0.0,0.0535
2026-05-29,6.87,6.54,6.95,6.51,157465.0,星期五,-0.0029,-0.048
2026-05-28,6.81,6.89,7.31,6.75,254797.0,星期四,0.0015,0.0117
2026-05-27,6.98,6.8,7.04,6.78,108028.0,星期三,-0.0029,-0.0258
2026-05-26,7.2,7.0,7.25,6.91,138398.0,星期二,0.0,-0.0278
2026-05-25,7.24,7.2,7.3,7.07,115900.0,星期一,0.0,-0.0055
2026-05-22,7.21,7.24,7.31,7.15,88014.0,星期五,0.0,0.0042
2026-05-21,7.52,7.21,7.56,7.2,138103.0,星期四,0.0013,-0.0412
2026-05-20,7.5,7.51,7.65,7.32,150607.0,星期三,-0.0079,0.0013
2026-05-19,7.87,7.56,7.87,7.46,192636.0,星期二,0.0051,-0.0394
2026-05-18,7.72,7.83,7.88,7.6,116279.0,星期一,-0.0077,0.0142
2026-05-15,7.9,7.78,7.92,7.69,185354.0,星期五,0.0,-0.0152
2026-05-14,8.09,7.9,8.11,7.9,182039.0,星期四,0.0012,-0.0235
2026-05-13,8.38,8.08,8.63,8.04,287521.0,星期三,0.0084,-0.0358
2026-05-12,8.52,8.31,8.53,8.28,187424.0,星期二,0.0204,-0.0246
2026-05-11,8.65,8.35,8.66,8.3,381997.0,星期一,0.0117,-0.0347
2026-05-08,7.76,8.55,8.55,7.63,347747.0,星期五,-0.0013,0.1018
2026-05-07,7.98,7.77,8.0,7.76,158417.0,星期四,0.0013,-0.0263
2026-05-06,7.99,7.97,8.03,7.87,136820.0,星期三,0.005,-0.0025
2026-04-30,8.09,7.95,8.23,7.93,132411.0,星期四,0.0,-0.0173
2026-04-29,7.98,8.09,8.19,7.96,103578.0,星期三,-0.0025,0.0138
2026-04-28,8.02,8.0,8.12,7.94,108974.0,星期二,0.0,-0.0025
2026-04-27,8.06,8.02,8.11,7.85,114020.0,星期一,0.0062,-0.005
2026-04-24,8.13,8.01,8.13,7.82,168693.0,星期五,0.0125,-0.0148
2026-04-23,8.27,8.03,8.5,8.0,260064.0,星期四,-0.0361,-0.029
2026-04-22,8.55,8.58,8.79,8.45,176302.0,星期三,-0.0035,0.0035
2026-04-21,8.52,8.58,8.6,8.44,142041.0,星期二,0.0,0.007
2026-04-20,8.33,8.52,8.59,8.33,226457.0,星期一,0.0085,0.0228
2026-04-17,8.27,8.26,8.33,8.13,272418.0,星期五,0.0,-0.0012
2026-04-16,7.51,8.27,8.27,7.51,236188.0,星期四,-0.0013,0.1012
2026-04-15,7.64,7.52,7.68,7.5,81358.0,星期三,0.0013,-0.0157
2026-04-14,7.63,7.63,7.66,7.5,92175.0,星期二,0.0079,0.0
2026-04-13,7.53,7.57,7.6,7.45,80341.0,星期一,-0.004,0.0053
2026-04-10,7.6,7.56,7.72,7.55,96469.0,星期五,0.0106,-0.0053
2026-04-09,7.57,7.52,7.59,7.38,96248.0,星期四,-0.0039,-0.0066
2026-04-08,7.43,7.6,7.6,7.37,90813.0,星期三,0.0192,0.0229
2026-04-07,7.19,7.29,7.35,7.18,96520.0,星期二,0.0028,0.0139
2026-04-03,7.43,7.17,7.47,7.16,102324.0,星期五,0.0068,-0.035
2026-04-02,7.5,7.38,7.64,7.36,110262.0,星期四,-0.0132,-0.016
2026-04-01,7.66,7.6,7.68,7.5,96889.0,星期三,0.0296,-0.0078
2026-03-31,7.6,7.44,7.69,7.42,88708.0,星期二,-0.0065,-0.0211
2026-03-30,7.5,7.65,7.66,7.4,72621.0,星期一,-0.0145,0.02
2026-03-27,7.23,7.61,7.66,7.21,100631.0,星期五,-0.0282,0.0526
2026-03-26,7.7,7.44,7.74,7.4,103283.0,星期四,0.0026,-0.0338
2026-03-25,7.55,7.68,7.78,7.52,133887.0,星期三,-0.0013,0.0172
2026-03-24,7.47,7.56,7.59,7.29,149217.0,星期二,0.0261,0.012
