time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,28.01,25.9,28.65,25.88,509278.0,星期五,-0.0092,-0.0753
2026-06-25,28.1,28.27,28.98,27.8,587027.0,星期四,-0.0344,0.006
2026-06-24,27.32,29.1,29.3,26.32,828093.0,星期三,-0.0051,0.0652
2026-06-23,27.06,27.46,28.25,26.9,819594.0,星期二,0.0336,0.0148
2026-06-22,24.27,26.18,26.18,23.9,540960.0,星期一,0.0197,0.0787
2026-06-18,24.83,23.8,25.7,23.5,482412.0,星期四,-0.0056,-0.0415
2026-06-17,25.16,24.97,25.47,24.66,454459.0,星期三,-0.0225,-0.0076
2026-06-16,24.19,25.74,26.2,24.15,581939.0,星期二,-0.0066,0.0641
2026-06-15,24.16,24.35,24.76,23.85,396407.0,星期一,-0.0066,0.0079
2026-06-12,23.85,24.32,24.75,23.36,444456.0,星期五,0.0201,0.0197
2026-06-11,23.12,23.38,24.15,22.94,302283.0,星期四,-0.0026,0.0112
2026-06-10,23.4,23.18,23.86,22.96,151245.0,星期三,-0.0106,-0.0094
2026-06-09,23.45,23.65,23.85,22.76,198180.0,星期二,0.02,0.0085
2026-06-08,23.1,22.99,24.1,22.68,201043.0,星期一,-0.0371,-0.0048
2026-06-05,24.0,23.99,24.48,23.09,252906.0,星期五,0.0101,-0.0004
2026-06-04,24.55,23.76,24.57,23.67,247461.0,星期四,-0.0041,-0.0322
2026-06-03,24.67,24.65,24.99,24.4,173240.0,星期三,-0.008,-0.0008
2026-06-02,25.27,24.87,25.27,24.2,234595.0,星期二,-0.0012,-0.0158
2026-06-01,25.18,25.3,26.17,25.16,233352.0,星期一,-0.0024,0.0048
2026-05-29,25.91,25.24,26.19,25.08,250835.0,星期五,0.0031,-0.0259
2026-05-28,26.19,25.83,26.66,25.39,298692.0,星期四,0.0011,-0.0137
2026-05-27,26.3,26.16,27.1,26.0,344198.0,星期三,-0.0004,-0.0053
2026-05-26,26.61,26.31,27.0,25.81,375314.0,星期二,-0.0075,-0.0113
2026-05-25,28.05,26.81,28.13,26.48,614891.0,星期一,-0.0185,-0.0442
2026-05-22,28.47,28.58,29.1,27.84,570332.0,星期五,-0.0283,0.0039
2026-05-21,29.0,29.3,30.61,28.8,834398.0,星期四,0.042,0.0103
2026-05-20,26.6,27.83,28.48,26.48,523998.0,星期三,-0.0097,0.0462
2026-05-19,27.2,26.86,27.5,26.45,350550.0,星期二,-0.0145,-0.0125
2026-05-18,27.4,27.6,27.89,27.22,281272.0,星期一,-0.0133,0.0073
2026-05-15,28.05,27.77,28.81,27.5,382785.0,星期五,0.0075,-0.01
2026-05-14,29.0,27.84,29.04,27.82,450692.0,星期四,-0.0119,-0.04
2026-05-13,29.58,29.35,30.17,28.86,454083.0,星期三,0.0037,-0.0078
2026-05-12,30.12,29.47,30.27,29.06,416174.0,星期二,0.0007,-0.0216
