time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,17.73,17.42,18.14,17.33,41530.0,星期五,-0.0089,-0.0175
2026-06-25,18.63,17.89,18.83,17.51,50702.0,星期四,0.0,-0.0397
2026-06-24,18.74,18.63,19.1,18.25,44597.0,星期三,0.0,-0.0059
2026-06-23,18.39,18.74,19.2,18.21,56712.0,星期二,-0.0027,0.019
2026-06-22,19.63,18.44,19.74,18.13,71127.0,星期一,-0.0096,-0.0606
2026-06-18,19.58,19.82,20.16,19.3,48829.0,星期四,0.0,0.0123
2026-06-17,19.53,19.58,20.18,19.47,43813.0,星期三,-0.0211,0.0026
2026-06-16,19.43,19.95,20.16,18.85,55847.0,星期二,0.0067,0.0268
2026-06-15,19.36,19.3,19.79,19.28,45591.0,星期一,-0.0005,-0.0031
2026-06-12,19.22,19.37,19.62,19.22,47516.0,星期五,0.0089,0.0078
2026-06-11,19.0,19.05,19.48,18.8,68953.0,星期四,-0.0266,0.0026
2026-06-10,20.9,19.52,20.9,19.06,69554.0,星期三,0.0063,-0.066
2026-06-09,20.84,20.77,21.09,20.54,42190.0,星期二,0.0107,-0.0034
2026-06-08,20.8,20.62,21.29,20.4,61446.0,星期一,-0.0221,-0.0087
2026-06-05,20.74,21.27,21.8,20.33,71091.0,星期五,-0.0067,0.0256
2026-06-04,20.7,20.88,21.59,20.38,86166.0,星期四,0.001,0.0087
2026-06-03,20.48,20.68,21.22,20.01,59198.0,星期三,-0.0005,0.0098
2026-06-02,20.19,20.49,20.6,19.8,45672.0,星期二,-0.0098,0.0149
2026-06-01,20.3,20.39,20.72,19.93,41017.0,星期一,-0.0146,0.0044
2026-05-29,21.6,20.6,21.6,20.27,65212.0,星期五,0.0117,-0.0463
2026-05-28,22.0,21.35,22.29,20.85,72038.0,星期四,0.0023,-0.0295
2026-05-27,23.12,21.95,23.15,21.88,99844.0,星期三,-0.0013,-0.0506
2026-05-26,23.2,23.15,24.11,22.9,65445.0,星期二,-0.0128,-0.0022
2026-05-25,24.29,23.5,24.96,23.2,93501.0,星期一,0.0016,-0.0325
2026-05-22,24.71,24.25,24.72,23.6,100713.0,星期五,0.0077,-0.0186
