time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,11.01,12.23,12.23,10.82,120305.0,星期五,-0.0099,0.1108
2026-06-25,11.9,11.12,12.3,11.06,140235.0,星期四,-0.0149,-0.0655
2026-06-24,12.09,12.08,12.53,11.82,105987.0,星期三,0.0075,-0.0008
2026-06-23,12.19,12.0,12.6,11.93,112787.0,星期二,0.0008,-0.0156
2026-06-22,11.51,12.18,12.19,11.37,145758.0,星期一,0.0096,0.0582
2026-06-18,11.46,11.4,11.62,11.2,70267.0,星期四,-0.248,-0.0052
2026-06-17,15.45,15.24,15.59,15.08,46560.0,星期三,-0.0045,-0.0136
2026-06-16,15.4,15.52,15.7,15.22,44173.0,星期二,-0.0032,0.0078
2026-06-15,15.02,15.45,15.64,15.01,48465.0,星期一,-0.0046,0.0286
2026-06-12,15.28,15.09,15.48,14.85,50802.0,星期五,0.018,-0.0124
2026-06-11,15.1,15.01,15.33,14.74,54413.0,星期四,-0.0156,-0.006
2026-06-10,14.81,15.34,15.55,14.8,73675.0,星期三,-0.0107,0.0358
2026-06-09,14.77,14.97,15.36,14.47,83755.0,星期二,0.03,0.0135
2026-06-08,14.59,14.34,15.1,14.08,40121.0,星期一,-0.0234,-0.0171
2026-06-05,14.62,14.94,15.22,14.3,49869.0,星期五,-0.0081,0.0219
2026-06-04,14.91,14.74,15.19,14.59,43002.0,星期四,-0.0178,-0.0114
2026-06-03,15.13,15.18,15.46,14.96,37665.0,星期三,-0.0007,0.0033
2026-06-02,15.52,15.14,15.68,15.03,33933.0,星期二,-0.0006,-0.0245
2026-06-01,15.29,15.53,15.73,15.27,38046.0,星期一,-0.002,0.0157
2026-05-29,16.21,15.32,16.25,15.26,53012.0,星期五,-0.0018,-0.0549
2026-05-28,15.58,16.24,16.35,15.51,49500.0,星期四,-0.0139,0.0424
2026-05-27,16.0,15.8,16.18,15.64,45234.0,星期三,-0.0019,-0.0125
2026-05-26,16.3,16.03,16.31,15.86,45617.0,星期二,-0.0037,-0.0166
2026-05-25,16.58,16.36,16.65,16.25,43769.0,星期一,0.0018,-0.0133
2026-05-22,15.9,16.55,16.65,15.87,64007.0,星期五,0.0006,0.0409
2026-05-21,16.75,15.89,16.77,15.84,67221.0,星期四,0.0012,-0.0513
2026-05-20,16.71,16.73,16.82,16.47,43604.0,星期三,-0.0024,0.0012
2026-05-19,16.61,16.75,16.93,16.43,48270.0,星期二,-0.003,0.0084
2026-05-18,16.71,16.66,16.88,16.32,69112.0,星期一,-0.0124,-0.003
2026-05-15,16.52,16.92,17.12,16.52,92294.0,星期五,0.0,0.0242
2026-05-14,16.46,16.52,16.78,16.32,66365.0,星期四,0.0,0.0036
2026-05-13,16.0,16.46,16.68,15.96,64694.0,星期三,-0.0044,0.0288
2026-05-12,16.18,16.07,16.23,15.91,37972.0,星期二,-0.0049,-0.0068
2026-05-11,16.18,16.26,16.33,16.06,47839.0,星期一,0.0,0.0049
2026-05-08,16.15,16.18,16.23,16.02,36159.0,星期五,-0.0019,0.0019
2026-05-07,16.22,16.18,16.39,16.11,37800.0,星期四,-0.0006,-0.0025
2026-05-06,16.01,16.23,16.29,15.97,56378.0,星期三,0.0038,0.0137
2026-04-30,15.75,15.95,16.08,15.7,43370.0,星期四,-0.0094,0.0127
2026-04-29,15.79,15.9,16.05,15.66,62666.0,星期三,0.02,0.007
