time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,16.98,15.98,16.98,15.85,64864.0,星期五,0.0143,-0.0589
2026-06-25,17.52,16.74,17.52,16.66,83226.0,星期四,0.0052,-0.0445
2026-06-24,17.4,17.43,17.51,17.0,46768.0,星期三,-0.0017,0.0017
2026-06-23,17.47,17.43,18.05,17.34,48201.0,星期二,-0.0102,-0.0023
2026-06-22,17.71,17.65,17.75,17.12,56820.0,星期一,-0.0023,-0.0034
2026-06-18,17.99,17.75,18.32,17.41,58236.0,星期四,0.0227,-0.0133
2026-06-17,18.1,17.59,18.24,17.57,54215.0,星期三,-0.0028,-0.0282
2026-06-16,18.5,18.15,18.67,18.08,53068.0,星期二,0.0,-0.0189
2026-06-15,18.1,18.5,18.7,18.0,63980.0,星期一,0.0067,0.0221
2026-06-12,18.21,17.98,18.58,17.88,53327.0,星期五,0.0,-0.0126
2026-06-11,18.29,18.21,18.5,18.02,45464.0,星期四,-0.014,-0.0044
2026-06-10,19.0,18.55,19.0,18.12,53855.0,星期三,-0.0016,-0.0237
2026-06-09,18.88,19.03,19.09,18.45,42088.0,星期二,0.008,0.0079
2026-06-08,19.15,18.73,19.56,18.42,61774.0,星期一,-0.0103,-0.0219
2026-06-05,19.28,19.35,19.85,18.55,76085.0,星期五,-0.0005,0.0036
2026-06-04,20.0,19.29,20.0,19.03,67637.0,星期四,0.0086,-0.0355
2026-06-03,18.95,19.83,20.2,18.86,112131.0,星期三,-0.0021,0.0464
2026-06-02,20.16,18.99,20.5,18.84,132234.0,星期二,-0.0491,-0.058
2026-06-01,21.8,21.2,22.08,21.18,65271.0,星期一,0.0005,-0.0275
2026-05-29,23.1,21.79,23.1,21.51,71649.0,星期五,0.0087,-0.0567
2026-05-28,22.6,22.9,23.19,22.44,56558.0,星期四,-0.0088,0.0133
2026-05-27,24.01,22.8,24.29,22.74,113192.0,星期三,-0.014,-0.0504
2026-05-26,25.43,24.35,25.43,23.7,153683.0,星期二,0.0012,-0.0425
2026-05-25,24.95,25.4,27.25,24.92,244028.0,星期一,0.0073,0.018
2026-05-22,24.2,24.77,24.99,24.15,85586.0,星期五,-0.0041,0.0236
2026-05-21,25.2,24.3,25.71,24.26,112246.0,星期四,0.004,-0.0357
2026-05-20,24.3,25.1,25.45,23.9,104560.0,星期三,-0.0004,0.0329
2026-05-19,23.82,24.31,24.65,22.71,132000.0,星期二,0.0085,0.0206
2026-05-18,23.82,23.62,23.94,23.15,63455.0,星期一,-0.01,-0.0084
2026-05-15,24.15,24.06,24.5,23.55,65435.0,星期五,0.0113,-0.0037
2026-05-14,24.45,23.88,24.63,23.67,75200.0,星期四,0.0008,-0.0233
2026-05-13,24.51,24.43,25.8,24.3,115694.0,星期三,-0.0049,-0.0033
2026-05-12,25.62,24.63,26.0,24.1,133786.0,星期二,-0.0039,-0.0386
2026-05-11,25.72,25.72,26.48,25.0,99860.0,星期一,0.009,0.0
2026-05-08,26.13,25.49,26.19,25.4,78117.0,星期五,0.0011,-0.0245
2026-05-07,25.73,26.1,26.68,25.4,93041.0,星期四,0.0031,0.0144
