time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,13.59,14.38,14.38,13.13,1513870.0,星期五,0.0398,0.0581
2026-06-25,13.07,13.07,13.07,13.07,149548.0,星期四,0.1002,0.0
2026-06-24,11.23,11.88,11.88,10.82,683281.0,星期三,0.0398,0.0579
2026-06-23,10.02,10.8,10.8,9.67,233442.0,星期二,0.0204,0.0778
2026-06-22,10.9,9.82,11.43,9.64,464801.0,星期一,0.0177,-0.0991
2026-06-18,10.65,10.71,10.75,10.2,224172.0,星期四,-0.0111,0.0056
2026-06-17,10.95,10.77,11.03,10.66,200520.0,星期三,-0.0045,-0.0164
2026-06-16,10.35,11.0,11.29,10.21,291354.0,星期二,0.0,0.0628
2026-06-15,10.16,10.35,10.42,9.99,232655.0,星期一,0.001,0.0187
2026-06-12,10.6,10.15,10.82,10.07,207491.0,星期五,0.0047,-0.0425
2026-06-11,10.64,10.55,10.81,10.19,161930.0,星期四,-0.0065,-0.0085
2026-06-10,10.35,10.71,11.18,10.34,205239.0,星期三,-0.0208,0.0348
2026-06-09,10.24,10.57,10.65,9.96,171997.0,星期二,0.0139,0.0322
2026-06-08,10.37,10.1,10.6,9.98,234411.0,星期一,-0.0434,-0.026
2026-06-05,11.19,10.84,11.55,10.81,303365.0,星期五,-0.0009,-0.0313
2026-06-04,10.68,11.2,11.36,10.57,261521.0,星期四,-0.0028,0.0487
2026-06-03,10.79,10.71,10.94,10.47,202460.0,星期三,0.0122,-0.0074
2026-06-02,10.78,10.66,10.87,10.49,185572.0,星期二,0.0094,-0.0111
2026-06-01,10.81,10.68,11.0,10.25,257496.0,星期一,-0.0199,-0.012
2026-05-29,11.67,11.03,12.08,10.86,286456.0,星期五,-0.0026,-0.0548
2026-05-28,11.56,11.7,11.85,11.19,265730.0,星期四,0.007,0.0121
2026-05-27,12.18,11.48,12.18,11.1,378129.0,星期三,-0.0008,-0.0575
2026-05-26,12.68,12.19,12.94,12.16,249211.0,星期二,-0.0047,-0.0386
2026-05-25,12.99,12.74,13.04,12.23,448953.0,星期一,0.0,-0.0192
2026-05-22,12.0,12.99,12.99,11.8,404199.0,星期五,0.0161,0.0825
2026-05-21,12.3,11.81,12.83,11.75,372142.0,星期四,0.0041,-0.0398
2026-05-20,12.28,12.25,12.51,11.55,387533.0,星期三,0.0225,-0.0024
2026-05-19,11.88,12.01,12.05,11.74,247962.0,星期二,-0.0017,0.0109
2026-05-18,11.56,11.9,12.24,11.22,445844.0,星期一,-0.0203,0.0294
2026-05-15,12.58,11.8,13.23,11.57,732662.0,星期五,0.0303,-0.062
2026-05-14,11.4,12.21,12.21,11.4,334433.0,星期四,0.027,0.0711
2026-05-13,12.19,11.1,12.19,10.92,678273.0,星期三,0.0083,-0.0894
2026-05-12,12.24,12.09,12.55,12.0,296193.0,星期二,0.0091,-0.0123
2026-05-11,13.19,12.13,13.19,11.89,586257.0,星期一,-0.0008,-0.0804
2026-05-08,13.29,13.2,13.43,12.99,240920.0,星期五,-0.0104,-0.0068
2026-05-07,13.59,13.43,13.79,13.38,218397.0,星期四,0.0037,-0.0118
2026-05-06,13.42,13.54,13.8,13.18,257703.0,星期三,0.006,0.0089
2026-04-30,12.82,13.34,13.78,12.7,329692.0,星期四,-0.0093,0.0406
2026-04-29,12.77,12.94,13.37,12.77,244473.0,星期三,-0.0177,0.0133
2026-04-28,13.2,13.0,13.38,12.85,235801.0,星期二,0.0008,-0.0152
2026-04-27,13.29,13.19,13.51,12.66,305836.0,星期一,-0.0134,-0.0075
2026-04-24,13.92,13.47,13.93,13.11,261813.0,星期五,0.0303,-0.0323
2026-04-23,14.24,13.51,14.44,13.41,352531.0,星期四,0.0,-0.0513
2026-04-22,13.85,14.24,14.57,13.43,377751.0,星期三,-0.0079,0.0282
